epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.561,1.49722,5.19345,1.11833,0.84049,0.90378,0.92404,0.58146,0.61711,9.14119,0.55025,0.000666013,0.000666013,0.000666013
2,863.072,1.26903,1.29592,1.02805,0.53934,0.9244,0.558,0.37626,0.64576,2.16713,0.55091,0.00130629,0.00130629,0.00130629
3,1279.39,1.25941,0.99671,1.03146,0.86781,0.9024,0.95268,0.68507,0.57379,1.30956,0.53871,0.00192017,0.00192017,0.00192017
4,1701.42,1.20464,0.94157,1.00526,0.63293,0.87696,0.6436,0.43087,0.60293,3.53415,0.54968,0.0018812,0.0018812,0.0018812
5,2131.02,1.16891,0.85536,0.99853,0.80289,0.92387,0.86237,0.50568,0.77355,1.20375,0.58651,0.0018416,0.0018416,0.0018416
6,2560.87,1.15974,0.854,0.98557,0.79718,0.87794,0.82003,0.54533,0.63067,2.40246,0.54214,0.001802,0.001802,0.001802
7,2990.17,1.09096,0.77064,0.96276,0.88324,0.90378,0.95562,0.66496,0.5735,0.6439,0.53758,0.0017624,0.0017624,0.0017624
8,3418.19,1.0957,0.7936,0.95982,0.87801,0.9151,0.9512,0.69629,0.54566,0.56395,0.52772,0.0017228,0.0017228,0.0017228
9,3846.06,1.03685,0.75291,0.94353,0.63495,0.87864,0.62987,0.42242,0.59645,6.59505,0.53972,0.0016832,0.0016832,0.0016832
10,4385.41,1.00184,0.70591,0.92387,0.91629,0.90722,0.9736,0.68582,0.56558,0.56245,0.52774,0.0016436,0.0016436,0.0016436
11,4860.11,1.01319,0.69793,0.9375,0.92603,0.90339,0.9608,0.69323,0.53707,0.94251,0.52979,0.001604,0.001604,0.001604
12,5280.44,1.03976,0.72478,0.94619,0.9157,0.90722,0.96041,0.69931,0.53479,0.57651,0.52842,0.0015644,0.0015644,0.0015644
13,5683.93,0.99357,0.65312,0.94183,0.92003,0.90934,0.96655,0.72418,0.503,0.52184,0.5244,0.0015248,0.0015248,0.0015248
