epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,528.558,1.82015,2.61773,1.69116,0.6769,0.4237,0.51428,0.27842,1.67683,2.5121,1.54943,0.00999583,0.00333194,0.00999583,0.00333194,0.00999583,0.00333194,0.00999583,0.00333194
2,965.402,1.80324,2.05453,1.69584,0.67723,0.40762,0.49562,0.27165,1.65628,1.91744,1.55781,0.0197979,0.00659929,0.0197979,0.00659929,0.0197979,0.00659929,0.0197979,0.00659929
3,1388.51,1.86596,2.03451,1.76545,0.66425,0.42741,0.47152,0.25145,1.70773,1.87486,1.64603,0.0294019,0.00980064,0.0294019,0.00980064,0.0294019,0.00980064,0.0294019,0.00980064
4,1801.56,1.88501,2.02646,1.81376,0.67487,0.42634,0.51433,0.29526,1.62716,1.54793,1.59292,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2223.25,1.82655,1.90409,1.76492,0.70613,0.46796,0.54317,0.29983,1.67137,1.52606,1.59896,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2640.51,1.76764,1.81185,1.72301,0.75688,0.47236,0.58253,0.34199,1.55016,1.37001,1.52413,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3059.18,1.74637,1.76487,1.69935,0.68096,0.47985,0.55842,0.31486,1.58078,1.4387,1.52069,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3475.37,1.72397,1.73141,1.69495,0.73196,0.51068,0.6057,0.34413,1.52826,1.31794,1.50918,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3892.43,1.69179,1.67385,1.65697,0.73335,0.52852,0.62058,0.36068,1.49778,1.29195,1.48578,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4307.12,1.66667,1.61585,1.63916,0.72459,0.54988,0.62521,0.36296,1.47401,1.2487,1.45117,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4723.86,1.64334,1.58474,1.63028,0.73421,0.55113,0.63585,0.36879,1.4924,1.21072,1.47066,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5139.9,1.63668,1.57663,1.62977,0.78039,0.55318,0.64934,0.37996,1.44673,1.1607,1.443,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5555.37,1.61178,1.52874,1.60086,0.78564,0.57036,0.67107,0.39369,1.43441,1.13818,1.42454,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5972.92,1.60654,1.51656,1.59554,0.77465,0.57304,0.67152,0.39971,1.41604,1.10309,1.41013,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6394.53,1.58773,1.48188,1.57945,0.78531,0.56728,0.67262,0.39811,1.42739,1.093,1.42188,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6809.77,1.58005,1.4742,1.5819,0.78782,0.57318,0.67393,0.39374,1.42252,1.10151,1.41111,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7226.67,1.57018,1.454,1.5714,0.7848,0.58625,0.68194,0.40436,1.40051,1.07351,1.39878,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7644.64,1.55883,1.42923,1.55919,0.80532,0.57917,0.68745,0.41019,1.39258,1.06685,1.38949,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8060.21,1.55121,1.41582,1.54905,0.80672,0.59414,0.69748,0.42,1.37436,1.04037,1.37497,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8476.05,1.55265,1.4157,1.55169,0.80873,0.59062,0.69693,0.41886,1.36783,1.03042,1.3731,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8893.69,1.53856,1.39028,1.54101,0.79493,0.59071,0.70006,0.41958,1.36409,1.02541,1.36738,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,9310.18,1.54584,1.38011,1.53786,0.79521,0.59524,0.69884,0.41992,1.36834,1.02286,1.38321,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9725.77,1.50807,1.35157,1.5209,0.7913,0.59785,0.69939,0.42795,1.34569,1.01698,1.37047,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,10148.4,1.51245,1.3425,1.52311,0.81702,0.58842,0.70602,0.43409,1.34415,0.98703,1.36075,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10563.9,1.50654,1.34454,1.51599,0.81377,0.59678,0.71072,0.43445,1.35091,0.99642,1.35813,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10979,1.49871,1.32938,1.50902,0.80944,0.60426,0.71422,0.43238,1.33526,0.9693,1.35477,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11393.2,1.48818,1.30118,1.50003,0.80897,0.61176,0.72027,0.44282,1.33329,0.94905,1.33805,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11807.1,1.485,1.3013,1.50134,0.81848,0.61764,0.72108,0.44073,1.33392,0.95828,1.35132,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,12219.1,1.49187,1.30534,1.50733,0.82887,0.60493,0.72219,0.44093,1.3357,0.94927,1.34646,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,12633.2,1.47893,1.28821,1.48966,0.81434,0.61374,0.72572,0.44705,1.31063,0.9263,1.32804,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,13048.3,1.46212,1.27492,1.48209,0.80912,0.62387,0.72988,0.45067,1.30936,0.92638,1.32669,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,13461.7,1.47259,1.27767,1.48413,0.81571,0.61797,0.73037,0.44928,1.29866,0.9338,1.32374,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13875.4,1.45586,1.25879,1.47986,0.81932,0.6281,0.73765,0.45453,1.30538,0.90765,1.32426,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14298.6,1.45737,1.27257,1.48437,0.81767,0.63005,0.74248,0.45975,1.29858,0.91353,1.32038,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14712.5,1.45323,1.2429,1.47294,0.81432,0.62967,0.73696,0.46213,1.28848,0.8931,1.31479,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15128,1.44392,1.22773,1.46646,0.82318,0.63092,0.73865,0.46176,1.28318,0.8978,1.316,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15542,1.43375,1.21979,1.45747,0.81198,0.64098,0.74482,0.46623,1.28315,0.89846,1.30317,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15955.9,1.43511,1.21524,1.45692,0.82644,0.63466,0.74438,0.46813,1.27694,0.88107,1.30673,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
