epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.103,0.95262,0.61429,0.94395,0.97838,0.98266,0.99334,0.72528,0.88885,1.38581,0.84594,0.00066485,0.00066485,0.00066485
2,201.446,0.93056,0.58211,0.93971,0.96947,0.985,0.99332,0.71789,0.84752,1.03776,0.8263,0.00128758,0.00128758,0.00128758
3,302.369,0.9573,0.57051,0.93975,0.96576,0.98626,0.99277,0.78569,0.75683,0.73106,0.80916,0.0018663,0.0018663,0.0018663
4,427.175,0.90808,0.53152,0.92187,0.96237,0.97652,0.991,0.77695,0.73517,0.68779,0.80957,0.001802,0.001802,0.001802
5,548.202,0.92283,0.53865,0.93022,0.98523,0.98183,0.99409,0.80251,0.70053,0.46005,0.79876,0.001736,0.001736,0.001736
6,672.364,0.89236,0.51727,0.912,0.98659,0.97652,0.99391,0.52997,1.39602,0.58412,1.00991,0.00167,0.00167,0.00167
7,793.053,0.88746,0.49113,0.9115,0.98002,0.98538,0.99429,0.82352,0.62539,0.45551,0.77789,0.001604,0.001604,0.001604
8,918.013,0.84895,0.48186,0.90237,0.98121,0.98848,0.99429,0.82785,0.62489,0.52349,0.77078,0.001538,0.001538,0.001538
9,1034.98,0.8363,0.47899,0.89381,0.98797,0.98207,0.99414,0.82863,0.60742,0.43643,0.76902,0.001472,0.001472,0.001472
10,1156.91,0.81285,0.46188,0.89122,0.98672,0.9878,0.99452,0.82752,0.63755,0.43707,0.77023,0.001406,0.001406,0.001406
11,1279.33,0.80056,0.45109,0.88609,0.97907,0.98582,0.99381,0.84022,0.58065,0.43475,0.75792,0.00134,0.00134,0.00134
12,1399.67,0.77589,0.43534,0.88537,0.22772,0.91006,0.22791,0.17602,0.75286,18.2076,0.7977,0.001274,0.001274,0.001274
13,1518.51,0.77248,0.44145,0.88016,0.9788,0.99291,0.99407,0.82322,0.62318,0.38819,0.7689,0.001208,0.001208,0.001208
14,1637.2,0.76444,0.41966,0.87423,0.9738,0.99291,0.99427,0.84752,0.56638,0.55632,0.75618,0.001142,0.001142,0.001142
15,1750.95,0.74487,0.41789,0.87562,0.98942,0.97076,0.99427,0.83878,0.60603,0.38938,0.76711,0.001076,0.001076,0.001076
16,1852.84,0.75114,0.41338,0.87409,0.97868,0.98759,0.99411,0.84578,0.55245,0.41702,0.75216,0.00101,0.00101,0.00101
17,1969.86,0.73853,0.40746,0.87398,0.9801,0.98209,0.99389,0.8525,0.55789,0.35974,0.7537,0.000944,0.000944,0.000944
18,2089.4,0.72074,0.39646,0.87047,0.9841,0.97962,0.99423,0.79972,0.69029,0.49625,0.78321,0.000878,0.000878,0.000878
19,2210.53,0.72511,0.39702,0.86846,0.9815,0.98714,0.99433,0.84794,0.55849,0.35627,0.74929,0.000812,0.000812,0.000812
20,2330.01,0.69562,0.38221,0.85506,0.97909,0.99114,0.99453,0.81965,0.61482,0.3731,0.76423,0.000746,0.000746,0.000746
21,2440.72,0.67091,0.36241,0.86581,0.98071,0.99111,0.99434,0.85058,0.56116,0.3382,0.74885,0.00068,0.00068,0.00068
22,2550.77,0.64657,0.34993,0.8602,0.97986,0.99148,0.9945,0.85078,0.54494,0.32233,0.74724,0.000614,0.000614,0.000614
23,2661.59,0.64906,0.34359,0.85673,0.98284,0.98956,0.99456,0.84805,0.5465,0.33364,0.74734,0.000548,0.000548,0.000548
24,2772.3,0.63694,0.33991,0.86072,0.98545,0.99026,0.9946,0.84661,0.55934,0.35075,0.748,0.000482,0.000482,0.000482
25,2882.02,0.62385,0.33141,0.86006,0.98282,0.98829,0.99444,0.84352,0.56973,0.33718,0.75416,0.000416,0.000416,0.000416
26,2992.84,0.60968,0.32609,0.84947,0.98796,0.9907,0.99473,0.86332,0.51455,0.30328,0.73637,0.00035,0.00035,0.00035
27,3085.02,0.60181,0.31703,0.85038,0.98894,0.99015,0.99473,0.86059,0.51477,0.31421,0.73884,0.000284,0.000284,0.000284
28,3175.6,0.58684,0.31194,0.84566,0.98773,0.9907,0.99472,0.85758,0.53413,0.31921,0.74047,0.000218,0.000218,0.000218
29,3267.15,0.57478,0.30373,0.83613,0.98938,0.99051,0.99473,0.85247,0.53179,0.31486,0.74343,0.000152,0.000152,0.000152
30,3358.23,0.57694,0.30758,0.84329,0.98508,0.99449,0.99474,0.86115,0.50631,0.30044,0.73639,8.6e-05,8.6e-05,8.6e-05
